reference,margin,budget,p_iut,worst_mean_delta,max_mean_delta,min_delta_fpr,max_delta_fpr,p_holm,supported
XGB_200K,0.01,20000,0.04330823337447546,0.0008891507539033894,0.013950126490784198,-0.004457384859714119,-0.0008836720004429498,0.17323293349790184,False
XGB_200K,0.01,50000,2.561215629338395e-06,0.04593359375000006,0.05584242862305733,-0.0039809422975119,-0.0007131388073750092,1.2806078146691975e-05,True
XGB_200K,0.01,100000,2.559049888801709e-11,0.0732617187500001,0.08845978735370519,-0.0036739015352038,-0.0006799180554786502,1.5354299332810254e-10,True
XGB_200K,0.01,200000,6.816093848139217e-14,0.08761328125000012,0.10632850370925839,-0.0038538909475912906,-0.0006145839100824505,4.771265693697452e-13,True
XGB_200K,0.02,2000,0.9999998863701642,-0.16570123240926138,-0.15264468785987828,-0.00547379565907888,-0.0011317202812690299,1.0,False
XGB_200K,0.02,5000,0.9999903275904986,-0.0885614371527681,-0.07720164278738739,-0.004457384859714139,-0.0007751508775815097,1.0,False
XGB_200K,0.02,10000,0.9994932760771567,-0.03790406813251568,-0.027187596152559723,-0.004933827421916349,-0.00103870217595926,1.0,False
XGB_200K,0.02,20000,0.002115911277809906,0.0008891507539033894,0.013950126490784198,-0.004457384859714119,-0.0008836720004429498,0.008463645111239624,True
XGB_200K,0.02,50000,6.332664446639586e-07,0.04593359375000006,0.05584242862305733,-0.0039809422975119,-0.0007131388073750092,3.1663322233197932e-06,True
XGB_200K,0.02,100000,8.291872211310297e-12,0.0732617187500001,0.08845978735370519,-0.0036739015352038,-0.0006799180554786502,4.975123326786178e-11,True
XGB_200K,0.02,200000,3.248653914639639e-14,0.08761328125000012,0.10632850370925839,-0.0038538909475912906,-0.0006145839100824505,2.2740577402477473e-13,True
